"studyID","short_reference","ot:studyPublicationReference","ot:studyPublication"
"ot_2146","Gibb and Shepherd, 2022","Gibb, G. C., & Shepherd, L. D. (2022). Recent evolution of extreme sexual dimorphism in the huia (Heteralocha acutirostris; Callaeidae). Molecular Phylogenetics and Evolution, 175, 107575. https://doi.org/10.1016/j.ympev.2022.107575","http://dx.doi.org/10.1016/j.ympev.2022.107575"
"ot_532","Gibb et al., 2015","Gibb, Gillian C., Ryan England, Gerrit Hartig, P.A. (Trish) McLenachan, Briar L. Taylor Smith, Bennet J. McComish, Alan Cooper, David Penny. 2015. New Zealand passerines help clarify the diversification of major songbird lineages during the Oligocene. Genome Biology and Evolution 7 (11): 2983-2995.","http://dx.doi.org/10.1093/gbe/evv196"
"ot_816","Gibson and Baker, 2012","Gibson, Rosemary, Allan Baker. 2012. Multiple gene sequences resolve phylogenetic relationships in the shorebird suborder Scolopaci (Aves: Charadriiformes). Molecular Phylogenetics and Evolution 64 (1): 66-72","http://dx.doi.org/10.1016/j.ympev.2012.03.008"
"ot_866","Gonzalez and Wink, 2008","Gonzalez, J. Michael Wink, 2008, 'Phylogenetic position of the monotypic Des Murs’ Wiretail (Sylviorthorhynchus desmursii, Aves: Furnariidae) based on mitochondrial and nuclear DNA', Journal of Ornithology, vol. 149, no. 3, pp. 393-398","http://dx.doi.org/10.1007/s10336-007-0251-0"
"pg_2866","Gonzalez et al., 2013","Gonzalez, J., H. Düttmann, M. Wink. 2009. Phylogenetic relationships based on two mitochondrial genes and hybridization patterns in Anatidae. Journal of Zoology 279 (3): 310-318.","http://dx.doi.org/10.1111/j.1469-7998.2009.00622.x"
"pg_2869","Gonzalez, Düttmann and Wink, 2009","Gonzalez, Juan-Carlos T., Ben C. Sheldon, Nigel J. Collar, Joseph A. Tobias. 2013. A comprehensive molecular phylogeny for the hornbills (Aves: Bucerotidae). Molecular Phylogenetics and Evolution 67 (2): 468-483.","http://dx.doi.org/10.1016/j.ympev.2013.02.012"
"pg_2872","Han, Robbins and Braun, 2010","Han, Kin-Lan, Mark B. Robbins, Michael J. Braun. 2010. A multi-gene estimate of phylogeny in the nightjars and nighthawks (Caprimulgidae). Molecular Phylogenetics and Evolution 55 (2): 443-453.","http://dx.doi.org/10.1016/j.ympev.2010.01.023"
"ot_173","Harris, Birks and Leaché, 2014","Harris, R.B., M.D. Carling, I.J. Lovette. 2014. The influence of sampling design on species tree inference: a new relationship for the New World chickadees (Aves: Poecile). Evolution 68 (2): 501-513.","http://dx.doi.org/10.1111/evo.12280"
"ot_118","Harris, Carling and Lovette, 2014","Harris, Rebecca B., Sharon M. Birks, Adam D. Leaché. 2014. Incubator birds: biogeographical origins and evolution of underground nesting in megapodes (Galliformes: Megapodiidae). Journal of Biogeography doi: 10.1111/jbi.12357","http://dx.doi.org/10.1111/jbi.12357"
"ot_2015","Harvey et al., 2020","Harvey, M. G., Bravo, G. A., Claramunt, S., Cuervo, A. M., Derryberry, G. E., Battilana, J., … Derryberry, E. P. (2020). The evolution of a tropical biodiversity hotspot. Science, 370(6522), 1343–1348. doi:10.1126/science.aaz6970","http://dx.doi.org/10.1126/science.aaz6970"
"ot_749","Hooper, Olsson and Alström, 2016","Hooper, Daniel M., Urban Olsson, Per Alström. 2016. The Rusty-tailed Flycatcher (Muscicapa ruficauda; Aves: Muscicapidae) is a member of the genus Ficedula. Molecular Phylogenetics and Evolution 102: 56-61","http://dx.doi.org/10.1016/j.ympev.2016.05.036"
"ot_2170","Hosner et al., 2016","Hosner, P. A., Braun, E. L., & Kimball, R. T. (2016). Rapid and recent diversification of curassows, guans, and chachalacas (Galliformes: Cracidae) out of Mesoamerica: Phylogeny inferred from mitochondrial, intron, and ultraconserved element sequences. Molecular Phylogenetics and Evolution, 102, 320–330. https://doi.org/10.1016/j.ympev.2016.06.006","http://dx.doi.org/10.1016/j.ympev.2016.06.006"
"ot_1002","Hosner, Braun and Kimball, 2016","Hosner, Peter A. Brant C. Faircloth, Travis C. Glenn, Edward L. Braun, Rebecca T. Kimball. 2015. Avoiding missing data biases in phylogenomic inference: an empirical study in the landfowl (Aves: Galliformes). Molecular Biology and Evolution 33 (4): 1110-1125","http://dx.doi.org/10.1093/molbev/msv347"
"ot_2221","Hruska et al., 2023","Hruska, J. P., Holmes, J., Oliveros, C., Shakya, S., Lavretsky, P., McCracken, K. G., Sheldon, F. H., & Moyle, R. G. (2023). Ultraconserved elements resolve the phylogeny and corroborate patterns of molecular rate variation in herons (Aves: Ardeidae). Ornithology. https://doi.org/10.1093/ornithology/ukad005","http://dx.doi.org/10.1093/ornithology/ukad005"
"ot_116","Hugall and Stuart-Fox, 2012","Hugall, Andrew F., Devi Stuart-Fox. 2012. Accelerated speciation in colour-polymorphic birds. Nature 485 (7400): 631-634.","http://dx.doi.org/10.1038/nature11050"
"ot_856","Illera et al., 2008","Illera, J.C. David S. Richardson, Barbara Helm, Juan Carlos Atienza, Brent C. Emerson, 2008, 'Phylogenetic relationships, biogeography and speciation in the avian genus Saxicola', Molecular Phylogenetics and Evolution, vol. 48, no. 3, pp. 1145-1154","http://dx.doi.org/10.1016/j.ympev.2008.05.016"
"ot_2080","Imfeld, Barker and Brumfield, 2020","Imfeld, Barker, Brumfield, Mitochondrial genomes and thousands of ultraconserved elements resolve the taxonomy and historical biogeography of the Euphonia and Chlorophonia finches (Passeriformes: Fringillidae), The Auk, Volume 137, Issue 3, 1 July 2020, ukaa016, ","https://doi.org/10.1093/auk/ukaa016"
"ot_855","Irestedt et al.,  2009","Irestedt, M. Jérôme Fuchs, Knud A. Jønsson, Jan I. Ohlson, Eric Pasquet, Per G.P. Ericson, 2008, 'The systematic affinity of the enigmatic Lamprolia victoriae (Aves: Passeriformes)—An example of avian dispersal between New Guinea and Fiji over Miocene intermittent land bridges?', Molecular Phylogenetics and Evolution, vol. 48, no. 3, pp. 1218-1222","http://dx.doi.org/10.1016/j.ympev.2008.05.038"
"ot_763","Irestedt et al., 2008","Irestedt, Martin, Knud A Jønsson, Jon Fjeldså, Les Christidis, Per GP Ericson. 2009. An unexpectedly long history of sexual selection in birds-of-paradise. BMC Evolutionary Biology 9 (1): 235","http://dx.doi.org/10.1186/1471-2148-9-235"
"ot_809","Jetz et al., 2012","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448","http://dx.doi.org/10.1038/nature11631"
"ot_2231","Jha et al., 2021","Jha, A., Seneviratne, S., Prayag, H. S., & Vasudevan, K. (2021). Phylogeny identifies multiple colonisation events and Miocene aridification as drivers of South Asian bulbul (Passeriformes: Pycnonotidae) diversification. Organisms Diversity & Evolution, 21(4), 783–794. https://doi.org/10.1007/s13127-021-00506-y","http://dx.doi.org/10.1007/s13127-021-00506-y"
"ot_854","Johansson et al., 2013","Johansson, U.S., Jon Fjeldså, Rauri C.K. Bowie, 2008, 'Phylogenetic relationships within Passerida (Aves: Passeriformes): A review and a new molecular phylogeny based on three nuclear intron markers', Molecular Phylogenetics and Evolution, vol. 48, no. 3, pp. 858-876","http://dx.doi.org/10.1016/j.ympev.2008.05.029"
"ot_1285","Johansson et al., 2018","Johansson, U.S., Martin Irestedt, Yanhua Qu, Per G.P. Ericson, 2018, 'Phylogenetic relationships of rollers (Coraciidae) based on complete mitochondrial genomes and fifteen nuclear genes', Molecular Phylogenetics and Evolution, vol. 126, pp. 17-22","http://dx.doi.org/10.1016/j.ympev.2018.03.030"
"pg_2600","Johansson, Fjeldså and Bowie, 2008","Johansson, Ulf S., Jan Ekman, Rauri C.K. Bowie, Peter Halvarsson, Jan I. Ohlson, Trevor D. Price, Per G.P. Ericson. 2013. A complete multilocus species phylogeny of the tits and chickadees (Aves: Paridae). Molecular Phylogenetics and Evolution 69 (3): 852-860.","http://dx.doi.org/10.1016/j.ympev.2013.06.019"
"ot_812","Johnson et al., 2016","Johnson, Jeff A., Joseph W. Brown, Jérôme Fuchs, David P. Mindell, 2016, 'Multi-locus phylogenetic inference among New World Vultures (Aves: Cathartidae)', Molecular Phylogenetics and Evolution, vol. 105, pp. 193-199","http://dx.doi.org/10.1016/j.ympev.2016.08.025"
"ot_2181","Johnson et al., 2021","Johnson, K. P., Weckstein, J. D., Virrueta Herrera, S., & Doña, J. (2021). The interplay between host biogeography and phylogeny in structuring diversification of the feather louse genus Penenirmus. Molecular Phylogenetics and Evolution, 165, 107297. https://doi.org/10.1016/j.ympev.2021.107297","http://dx.doi.org/10.1016/j.ympev.2021.107297"
"ot_2074","Johnson, Howard and Brumfield, 2021","Johnson, O., Howard, J. T., & Brumfield, R. T. (2021). Systematics of a Neotropical clade of dead-leaf-foraging antwrens (Aves: Thamnophilidae; Epinecrophylla). Molecular Phylogenetics and Evolution, 154, 106962. https://doi.org/10.1016/j.ympev.2020.106962","http://dx.doi.org/10.1016/j.ympev.2020.106962"
"ot_853","Jønsson et al., 2008","Jønsson, K. Rauri C. K. Bowie, Robert G. Moyle, Les Christidis, Christopher E. Filardi, Janette A. Norman, Jon Fjeldså, 2008, ' Molecular phylogenetics and diversification within one of the most geographically variable bird species complexes Pachycephala pectoralis / melanura ', Journal of Avian Biology, vol. 39, no. 5, pp. 473-478","http://dx.doi.org/10.1111/j.0908-8857.2008.04486.x"
"pg_2875","Jønsson et al., 2010","Jønsson, Knud A., Rauri C. K. Bowie, Robert G. Moyle, Martin Irestedt, Les Christidis, Janette A. Norman, Jon Fjeldså. 2010. Phylogeny and biogeography of Oriolidae (Aves: Passeriformes). Ecography 33 (2): 232-241.","http://dx.doi.org/10.1111/j.1600-0587.2010.06167.x"
"ot_520","Jønsson et al., 2016","Jønsson, Knud Andreas, Pierre-Henri Fabre, Jonathan D. Kennedy, Ben G. Holt, Michael K. Borregaard, Carsten Rahbek, Jon Fjeldså. 2016. A supermatrix phylogeny of corvoid passerine birds (Aves: Corvides). Molecular Phylogenetics and Evolution 94: 87-94.","http://dx.doi.org/10.1016/j.ympev.2015.08.020"
"pg_2806","Joseph et al., 2011","Joseph, Leo, Alicia Toon, Erin E. Schirtzinger, Timothy F. Wright. 2011. Molecular systematics of two enigmatic genera Psittacella and Pezoporus illuminate the ecological radiation of Australo-Papuan parrots (Aves: Psittaciformes). Molecular Phylogenetics and Evolution 59 (3): 675-684.","http://dx.doi.org/10.1016/j.ympev.2011.03.017"
"ot_2079","Kennedy and Spencer, 2014","Kennedy, J. D., Marki, P. Z., Reeve, A. H., Blom, M. P. K., Prawiradilaga, D. M., Haryoko, T., Koane, B., Kamminga, P., Irestedt, M., Jønsson, K. A., & Sheard, C. (2022). Diversification and community assembly of the world’s largest tropical island. Global Ecology and Biogeography. Portico. https://doi.org/10.1111/geb.13484","http://dx.doi.org/10.1111/geb.13484"
"pg_1764","Kennedy et al., 2013","Kennedy, M.,  S.A. Taylor, P. Nádvorník, H. Spencer. 2013. The phylogenetic relationships of the extant pelicans inferred from DNA sequence data. Molecular Phylogenetics and Evolution 66 (1): 215-222.","http://dx.doi.org/10.1016/j.ympev.2012.09.034"
"ot_2150","Kennedy et al., 2019","Kennedy, M., Seneviratne, S. S., Mendis, U. K., & Spencer, H. G. (2019). Sorting out the Snakebirds: The species status, phylogeny, and biogeography of the Darters (Aves: Anhingidae). Journal of Zoological Systematics and Evolutionary Research, 57(4), 892–899. Portico. https://doi.org/10.1111/jzs.12299","http://dx.doi.org/10.1111/jzs.12299"
"ot_140","Kennedy et al., 2022","Kennedy, Martyn, Hamish G. Spencer. 2014. Classification of the cormorants of the world. Molecular Phylogenetics and Evolution 79: 249-257.","http://dx.doi.org/10.1016/j.ympev.2014.06.020"
"ot_2018","Kimball et al., 2019","Kimball, R. T., Oliveros, C. H., Wang, N., White, N. D., Barker, F. K., Field, D. J., … Braun, E. L. (2019). A Phylogenomic Supertree of Birds. Diversity, 11(7), 109. doi:10.3390/d11070109","http://dx.doi.org/10.3390/d11070109"
"pg_2804","Kimball, Mary and Braun, 2011","Kimball, Rebecca T., Colette M. St. Mary, Edward L. Braun. 2011. A macroevolutionary perspective on multiple sexual traits in the Phasianidae (Galliformes). International Journal of Evolutionary Biology 2011: 1-16.","http://dx.doi.org/10.4061/2011/423938"
"ot_2097","Kirchman et al., 2022","Kirchman, J. J., McInerney, N. R., Giarla, T. C., Olson, S. L., Slikas, E., & Fleischer, R. C. (2021). Corrigendum to: Phylogeny based on ultra-conserved elements clarifies the evolution of rails and allies (Ralloidea) and is the basis for a revised classification. Ornithology, 139(1). https://doi.org/10.1093/ornithology/ukab065","http://dx.doi.org/10.1093/ornithology/ukab065"
"pg_2924","Klicka et al., 2014","Klicka, John, F. Keith Barker, Kevin J. Burns, Scott M. Lanyon, Irby J. Lovette, Jaime A. Chaves, Robert W. Bryson. 2014. A comprehensive multilocus assessment of sparrow (Aves: Passerellidae) relationships. Molecular Phylogenetics and Evolution 77: 177–182.","http://dx.doi.org/10.1016/j.ympev.2014.04.025"
"ot_126","Krajewski, Sipiorski and Anderson, 2010","Krajewski, Carey, Justin T. Sipiorski, Frank E. Anderson. 2010. Complete mitochondrial genome sequences and the phylogeny of cranes (Gruiformes: Gruidae). The Auk 127 (2): 440-452.","http://dx.doi.org/10.1525/auk.2009.09045"
"ot_786","Ksepka et al., 2012","Ksepka D., Fordyce R., Ando Y., & Jones C.M. 2012. New fossil penguins (Aves, Sphenisciformes) from the Oligocene of New Zealand reveal the skeletal plan of stem penguins. Journal of Vertebrate Paleontology, 32(2): 235-254.","http://dx.doi.org/10.1080/02724634.2012.652051"
"ot_891","Lamichhaney et al., 2015","Lamichhaney, S. Jonas Berglund, Markus Sällman Almén, Khurram Maqbool, Manfred Grabherr, Alvaro Martinez-Barrio, Marta Promerová, Carl-Johan Rubin, Chao Wang, Neda Zamani, B. Rosemary Grant, Peter R. Grant, Matthew T. Webster, Leif Andersson, 2015, 'Evolution of Darwin’s finches and their beaks revealed by genome sequencing', Nature, vol. 518, no. 7539, pp. 371-375","http://dx.doi.org/10.1038/nature14181"
"ot_2228","Lapiedra et al., 2021","Lapiedra, O., Sayol, F., Garcia-Porta, J., & Sol, D. (2021). Niche shifts after island colonization spurred adaptive diversification and speciation in a cosmopolitan bird clade. Proceedings of the Royal Society B: Biological Sciences, 288(1958), 20211022. https://doi.org/10.1098/rspb.2021.1022","http://dx.doi.org/10.1098/rspb.2021.1022"
"pg_2105","Lecroy and Barker, 2006","Lecroy, Mary, F. Keith Barker. 2006. New species of bush-warbler from Bougainville Island and a monophyletic origin for southwest Pacific Cettia. American Museum Novitates 3511: 1-20.","http://dx.doi.org/10.1206/0003-0082(2006)3511[1:ANSOBF]2.0.CO;2"
"pg_1966","Lee, Joseph and Edwards, 2012","Lee, J.Y., Joseph L., & Edwards S. 2011. A species tree for the Australo-Papuan fairy-wrens and allies (Aves: Maluridae). Systematic Biology 61 (2): 253-271.","http://dx.doi.org/10.1093/sysbio/syr101"
"pg_1887","Lerner et al., 2011","Lerner, H., M. Klaver, D. Mindell. 2008. Molecular phylogenetics of the Buteonine birds of prey (Accipitridae). The Auk 125 (2): 304-315.","http://dx.doi.org/10.1525/auk.2008.06161"
"ot_113","Lerner, Klaver and Mindell, 2008","Lerner, Heather R.L., Matthias Meyer, Helen F. James, Michael Hofreiter, Robert C. Fleischer. 2011. Multilocus Resolution of phylogeny and timescale in the extant adaptive radiation of Hawaiian honeycreepers. Current Biology 21 (21): 1838-1844.","http://dx.doi.org/10.1016/j.cub.2011.09.039"
"ot_2148","Liu et al., 2017","Liu, B., Alström, P., Olsson, U., Fjeldså, J., Quan, Q., Roselaar, K. C. S., Saitoh, T., Yao, C., Hao, Y., Wang, W., Qu, Y., & Lei, F. (2017). Explosive radiation and spatial expansion across the cold environments of the Old World in an avian family. Ecology and Evolution, 7(16), 6346–6357. Portico. https://doi.org/10.1002/ece3.3136","http://dx.doi.org/10.1002/ece3.3136"
"ot_848","Lovette et al., 2008","Lovette, I.J. Brynn V. McCleery, Amanda L. Talaba, Dustin R. Rubenstein, 2008, 'A complete species-level molecular phylogeny for the “Eurasian” starlings (Sturnidae: Sturnus, Acridotheres, and allies): Recent diversification in a highly social and dispersive avian group', Molecular Phylogenetics and Evolution, vol. 47, no. 1, pp. 251-260","http://dx.doi.org/10.1016/j.ympev.2008.01.020"
"ot_179","Lovette et al., 2012","Lovette, Irby J., Brian S. Arbogast, Robert L. Curry, Robert M. Zink, Carlos A. Botero, John P. Sullivan, Amanda L. Talaba, Rebecca B. Harris, Dustin R. Rubenstein, Robert E. Ricklefs, Eldredge Bermingham. 2012. Phylogenetic relationships of the mockingbirds and thrashers (Aves: Mimidae). Molecular Phylogenetics and Evolution 63 (2): 219-229.","http://dx.doi.org/10.1016/j.ympev.2011.07.009"
"ot_180","Lovette and Rubenstein, 2007","Lovette, Irby J., Dustin R. Rubenstein. 2007. A comprehensive molecular phylogeny of the starlings (Aves: Sturnidae) and mockingbirds (Aves: Mimidae): congruent mtDNA and nuclear trees for a cosmopolitan avian radiation. Molecular Phylogenetics and Evolution 44 (3): 1031-1056.","http://dx.doi.org/10.1016/j.ympev.2007.03.017"
"pg_2591","Lovette et al., 2010","Lovette, Irby J., Jorge L. Pérez-Emán, John P. Sullivan, Richard C. Banks, Isabella Fiorentino, Sergio Córdoba-Córdoba, María Echeverry-Galvis, F. Keith Barker, Kevin J. Burns, John Klicka, Scott M. Lanyon, Eldredge Bermingham. 2010. A comprehensive multilocus phylogeny for the wood-warblers and a revised classification of the Parulidae (Aves). Molecular Phylogenetics and Evolution 57 (2): 753-770.","http://dx.doi.org/10.1016/j.ympev.2010.07.018"
"ot_154","Lutz et al., 2013","Lutz, Holly L., Jason D. Weckstein, José S.L. Patané, John M. Bates, Alexandre Aleixo. 2013. Biogeography and spatio-temporal diversification of Selenidera and Andigena Toucans (Aves: Ramphastidae). Molecular Phylogenetics and Evolution 69 (3): 873-883.","http://dx.doi.org/10.1016/j.ympev.2013.06.017"
"ot_847","Manegold, 2008","Manegold, 2008, 'Composition and phylogenetic affinities of vangas (Vangidae, Oscines, Passeriformes) based on morphological characters', Journal of Zoological Systematics and Evolutionary Research, vol. 46, no. 3, pp. 267-277","http://dx.doi.org/10.1111/j.1439-0469.2008.00458.x"
"pg_1854","Mann et al., 2006","Mann, Nigel I., F. Keith Barker, Jeff A. Graves, Kimberly A. Dingess-Mann, Peter J.B. Slater. 2006. Molecular data delineate four genera of “Thryothorus” wrens. Molecular Phylogenetics and Evolution 40 (3): 750-759","http://dx.doi.org/10.1016/j.ympev.2006.04.014"
"ot_1043","Marki et al., 2017","Marki, Petter Z., Knud A. Jønsson, Martin Irestedt, Jacqueline M.T. Nguyen, Carsten Rahbek, Jon Fjeldså. 2017. Supermatrix phylogeny and biogeography of the Australasian Meliphagides radiation (Aves: Passeriformes). Molecular Phylogenetics and Evolution 107: 516-529","http://dx.doi.org/10.1016/j.ympev.2016.12.021"
"ot_148","Marks, Weckstein and Moyle, 2007","Marks, Ben D., Jason D. Weckstein, Robert G. Moyle. 2007. Molecular phylogenetics of the bee-eaters (Aves: Meropidae) based on nuclear and mitochondrial DNA sequence data. Molecular Phylogenetics and Evolution 45 (1): 23-32.","http://dx.doi.org/10.1016/j.ympev.2007.07.004"
"ot_2155","McCullough et al., 2022","McCullough, J. M., Joseph, L., Moyle, R. G., & Andersen, M. J. (2019). Ultraconserved elements put the final nail in the coffin of traditional use of the genus            Meliphaga            (Aves: Meliphagidae). Zoologica Scripta, 48(4), 411–418. Portico. https://doi.org/10.1111/zsc.12350","http://dx.doi.org/10.1111/zsc.12350"
"ot_2154","McCullough, Joseph, et al., 2019","McCullough, J. M., Moyle, R. G., Smith, B. T., & Andersen, M. J. (2019). A Laurasian origin for a pantropical bird radiation is supported by genomic and fossil data (Aves: Coraciiformes). Proceedings of the Royal Society B: Biological Sciences, 286(1910), 20190122. https://doi.org/10.1098/rspb.2019.0122","http://dx.doi.org/10.1098/rspb.2019.0122"
"ot_2158","McCullough, Moyle, et al., 2019","McCullough, J. M., Oliveros, C. H., Benz, B. W., Zenil-Ferguson, R., Cracraft, J., Moyle, R. G., & Andersen, M. J. (2022). Wallacean and Melanesian Islands Promote Higher Rates of Diversification within the Global Passerine Radiation Corvides. Systematic Biology. https://doi.org/10.1093/sysbio/syac044","http://dx.doi.org/10.1093/sysbio/syac044"
"pg_2853","McGuire et al., 2014","McGuire, Jimmy A., Christopher C. Witt, J.V. Remsen, Ammon Corl, Daniel L. Rabosky, Douglas L. Altshuler, Robert Dudley. 2014. Molecular phylogenetics and the diversification of hummingbirds. Current Biology 24 (8): 910-916.","http://dx.doi.org/10.1016/j.cub.2014.03.016"
"ot_846","Melo and Fuchs, 2008","Melo, M. Jérôme Fuchs, 2008, 'Phylogenetic Relationships Of The Gulf Of Guinea Alcedo Kingfishers', Ibis, Vol. 150, No. 3, Pp. 633-639","http://dx.doi.org/10.1111/j.1474-919x.2008.00826.x"
"ot_2153","Milá et al., 2021","Milá, B., Bruxaux, J., Friis, G., Sam, K., Ashari, H., & Thébaud, C. (2021). A new, undescribed species of            Melanocharis            berrypecker from western New Guinea and the evolutionary history of the family Melanocharitidae. Ibis, 163(4), 1310–1329. Portico. https://doi.org/10.1111/ibi.12981","http://dx.doi.org/10.1111/ibi.12981"
"pg_2926","Mitchell et al., 2014","Mitchell, K. J., B. Llamas, J. Soubrier, N. J. Rawlence, T. H. Worthy, J. Wood, M. S. Y. Lee, A. Cooper. 2014. Ancient DNA reveals elephant birds and kiwi are sister taxa and clarifies ratite bird evolution. Science 344 (6186): 898-900.","http://dx.doi.org/10.1126/science.1251981"
"ot_747","Mitchell et al., 2016","Mitchell, Kieren J., Jamie R. Wood, Bastien Llamas, Patricia A. McLenachan, Olga Kardailsky, R. Paul Scofield, Trevor H. Worthy, Alan Cooper. 2016. Ancient mitochondrial genomes clarify the evolutionary history of New Zealand’s enigmatic acanthisittid wrens. Molecular Phylogenetics and Evolution 102: 295-304","http://dx.doi.org/10.1016/j.ympev.2016.05.038"
"ot_2168","Moltesen et al., 2012","Moltesen, M., Irestedt, M., Fjeldså, J., Ericson, P. G. P., & Jønsson, K. A. (2012). Molecular phylogeny of Chloropseidae and Irenidae – Cryptic species and biogeography. Molecular Phylogenetics and Evolution, 65(3), 903–914. https://doi.org/10.1016/j.ympev.2012.08.012","http://dx.doi.org/10.1016/j.ympev.2012.08.012"
"ot_2098","Moncrieff, Faircloth and Brumfield, 2022","Moncrieff, A. E., Faircloth, B. C., & Brumfield, R. T. (2022). Systematics of Lepidothrix manakins (Aves: Passeriformes: Pipridae) using RADcap markers. Molecular Phylogenetics and Evolution, 173, 107525. https://doi.org/10.1016/j.ympev.2022.107525","http://dx.doi.org/10.1016/j.ympev.2022.107525"
"ot_158","Moore, Overton and Miglia, 2011","Moore, William S., Lowell C. Overton, Kathleen J. Miglia. 2011. Mitochondrial DNA based phylogeny of the woodpecker genera Colaptes and Piculus, and implications for the history of woodpecker diversification in South America. Molecular Phylogenetics and Evolution 58 (1): 76-84.","http://dx.doi.org/10.1016/j.ympev.2010.09.011"
"ot_832","Moyle and Marks, 2006","Moyle, R. G., Ben D. Marks, 2006, 'Phylogenetic relationships of the bulbuls (Aves: Pycnonotidae) based on mitochondrial and nuclear DNA sequence data', Molecular Phylogenetics and Evolution, vol. 40, no. 3, pp. 687-695","http://dx.doi.org/10.1016/j.ympev.2006.04.015"
"ot_838","Moyle, 2005","Moyle, R.G. 2005, 'Phylogeny And Biogeographical History Of Trogoniformes, A Pantropical Bird Order', Biological Journal Of The Linnean Society, Vol. 84, No. 4, Pp. 725-738","http://dx.doi.org/10.1111/j.1095-8312.2005.00435.x"
"ot_837","Moyle, 2006","Moyle, R.G. 2006, 'A Molecular Phylogeny Of Kingfishers (Alcedinidae) With Insights Into Early Biogeographic History', The Auk, Vol. 123, No. 2, P. 487","http://dx.doi.org/10.1642/0004-8038(2006)123[487:ampoka]2.0.co;2"
"ot_831","Moyle, Chesser, et al., 2006","Moyle, R.G. R Terry Chesser, Richard O. Prum, Peter Schikler, Joel Cracraft, 2006, 'Phylogeny And Evolutionary History Of Old World Suboscine Birds (Aves: Eurylaimides)', American Museum Novitates, Vol. 3544, No. 1, P. 1","http://dx.doi.org/10.1206/0003-0082(2006)3544[1:paehoo]2.0.co;2"
"pg_1586","Moyle, 2006","Moyle, R.G., Andersen M.J., Oliveros C., Steinheimer F.D., and Reddy S. 2012. Phylogeny and biogeography of the core babblers (Aves: Timaliidae). Systematic Biology 61 (4): 631-651.","http://dx.doi.org/10.1093/sysbio/sys027"
"ot_834","Moyle, et al., 2008","Moyle, R.G., Beth Slikas, Linda A. Whittingham, David W. Winkler, Frederick H. Sheldon, 2008, 'DNA Sequence assessment of phylogenetic relationships among New World martins (Hirundinidae: Progne)', The Wilson Journal of Ornithology, vol. 120, no. 4, pp. 683-691","http://dx.doi.org/10.1676/07-131.1"
"ot_835","Moyle, Cracraft, et al., 2006","Moyle, R.G., Jérôme Fuchs, Eric Pasquet, Ben D. Marks, 2007, 'Feeding behavior, toe count, and the phylogenetic relationships among alcedinine kingfishers (Alcedininae)', Journal of Avian Biology, vol. 38, no. 3, pp. 317-326","http://dx.doi.org/10.1111/j.2007.0908-8857.03921.x"
"ot_836","Moyle, et al., 2006","Moyle, R.G., Joel Cracraft, Maklarin Lakim, Jamili Nais, Frederick H. Sheldon, 2006, 'Reconsideration of the phylogenetic relationships of the enigmatic Bornean Bristlehead (Pityriasis gymnocephala)', Molecular Phylogenetics and Evolution, vol. 39, no. 3, pp. 893-898","http://dx.doi.org/10.1016/j.ympev.2006.01.024"
"ot_156","Moyle, 2004","Moyle, Robert G. 2004. Phylogenetics of barbets (Aves: Piciformes) based on nuclear and mitochondrial DNA sequence data. Molecular Phylogenetics and Evolution 30 (1): 187-200.","http://dx.doi.org/10.1016/s1055-7903(03)00179-9"
"ot_783","Moyle et al.,  2016","Moyle, Robert G., Carl H. Oliveros, Michael J. Andersen, Peter A. Hosner, Brett W. Benz, Joseph D. Manthey, Scott L. Travers, Rafe M. Brown, Brant C. Faircloth. 2016. Tectonic collision and uplift of Wallacea triggered the global songbird radiation. Nature Communications 7: 12709","http://dx.doi.org/10.1038/ncomms12709"
"ot_2186","Nagy and Tökölyi, 2014","Nagy, J., & Tökölyi, J. (2014). Phylogeny, Historical Biogeography and the Evolution of Migration in Accipitrid Birds of Prey (Aves: Accipitriformes). Ornis Hungarica, 22(1), 15–35. https://doi.org/10.2478/orhu-2014-0008","http://dx.doi.org/10.2478/orhu-2014-0008"
"ot_2188","Nagy, Végvári and Varga, 2019","Nagy, J., Végvári, Z., & Varga, Z. (2019). Phylogeny, migration and life history: filling the gaps in the origin and biogeography of the Turdus thrushes. Journal of Ornithology, 160(2), 529–543. https://doi.org/10.1007/s10336-019-01632-3","http://dx.doi.org/10.1007/s10336-019-01632-3"
"ot_175","Nguembock et al., 2008","Nguembock, Billy, Jon Fjeldså, Corinne Cruaud, Eric Pasquet. 2008. Molecular phylogenetic analysis of all members of the genus Elminia confirms their presence within the Stenostiridae clade. Zoologica Scripta 37 (6): 591-602.","http://dx.doi.org/10.1111/j.1463-6409.2008.00344.x"
"ot_129","Njabo and Sorenson, 2009","Njabo, Kevin Y, Michael D Sorenson. 2009. Origin of Bannerman's Turaco Tauraco bannermani in relation to historical climate change and the distribution of West African montane forests. Ostrich 80 (1): 1-7.","http://dx.doi.org/10.2989/ostrich.2009.80.1.1.759"
"ot_2187","Nováková and Robovský, 2021","Nováková, N., & Robovský, J. (2021). Behaviour of cranes (family Gruidae) mirrors their phylogenetic relationships. Avian Research, 12(1). https://doi.org/10.1186/s40657-021-00275-4","http://dx.doi.org/10.1186/s40657-021-00275-4"
